ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
199254	LUNE-AS ICI LA LUNE SARL,FR	2012-10-05	26,757	1,024	1	1
199255	REVE-AS Groupement Interet Economique REVE,FR	2012-10-05	27,456	1,024	4	1
199275	IPSET SARL IPSET,FR	2013-04-02	27,460	1,024	1	
199277	YADLE Yadle S.A.S.,FR	2013-04-02	28,217	1,024	1	1
199308	QUALIT-AS QUAL.IT S.A.S.,FR	2013-03-15	27,463	1,024	1	
199327	IERSYSTEMS IER Systems SAS,FR	2013-03-08	27,468	1,024	3	4
199446	TRANQUILIT-AS TRANQUIL IT SYSTEMS SAS,FR	2013-01-18	26,776	1,024	1	
199641	ASPAWAY-AS ASPAWAY SASU,FR	2012-10-30	26,114	1,024	1	
199660	CLOUDATA CLOUDATA SAS,FR	2012-10-19	24,697	1,024	1	1
199712	WEB4ALL-AS Association WEB4ALL,FR	2014-02-27	27,515	1,024	1	
199758	NEXYLAN SAS Nexylan,FR	2014-02-07	24,705	1,024	4	
199783	H24-FR-AS HEBERG-24 SAS,FR	2014-01-24	27,526	1,024	3	
199935	POLYMAG POLYMAG,FR	2013-12-04	27,537	1,024	1	
200050	ITSVISION ITSVision S.A.R.L.,FR	2013-10-23	29,004	1,024	1	
201188	BJTPARTNERS-AS BJT PARTNERS SAS,FR	2014-12-31	27,576	1,024	1	
201324	INTERXION-MRS-TRANSIT-AS INTERXION FRANCE SAS,FR	2014-11-24	27,588	1,024	1	
201325	DEVOPSYS Devopsys SAS,FR	2014-11-24	28,352	1,024	1	
201393	DELUBAC Banque DELUBAC et Cie S.c.s.,FR	2014-11-11	29,770	1,024	1	
201605	VIAPOSTSERVICES Viapost Services Sas,FR	2014-09-08	24,809	1,024	1	
201659	APHM Centre Hospitalier Regional de Marseille,FR	2014-08-21	26,230	1,024	1	1
201699	LEVELSYS LEVEL SYS SAS,FR	2014-08-11	26,933	1,024	1	
201753	ASPC AS-PC Sarl,FR	2014-07-25	27,660	1,024	1	
201808	BLUECOMM Blue-Comm SAS,FR	2014-07-08	27,669	1,024	2	
201876	NEFILI Nefili SAS,FR	2014-06-17	26,265	1,024	2	1
201880	LEGUIDE LeGuide.com S.A.,FR	2014-06-16	29,137	1,024	1	
201896	ASN-OPENHEADEND OpenHeadend SARL,FR	2014-06-10	25,565	1,024	2	
201939	DSMI Distribution Services Maintenance Informatiqu	2014-05-26	24,858	1,024	5	
202019	NUMERGY-AS Numergy SAS,FR	2014-05-01	24,874	1,024	1	
202096	MUSEECONFLUENCE Musee des Confluences,FR	2014-04-10	26,993	1,024	1	
202214	OBSERVATOIRE Secretariat General de la Defense et 	2014-03-10	24,560	1,024	2	1
202215	IDS INFORMATIQUE DE SECURITE (IDS), SAS,FR	2014-03-10	25,245	1,024	1	1
3295	Societe Generale	1995-01-24	31,414	768	3	
13034	PAGESJAUNES SA	2000-02-23	30,831	768	2	
24711	Collecte Localisation Satellites SA	2002-03-01	30,623	768	2	1
24763	Thales Services SAS	2002-03-15	31,032	768	3	
29322	The company STREAMWIDE located in Paris, France	2003-07-31	30,524	768	3	
31564	HEXAGLOBE SAS	2004-06-14	31,310	768	2	
34980	Mediametrie Estat	2005-05-11	31,019	768	2	
35330	Local Exchange Global Operation Services	2009-08-11	31,147	768	3	
41156	SUPINFO - Ecole Superieure d'Informatique	2006-06-22	31,657	768	2	
42096	KIT digital France SAS	2006-12-18	30,253	768	2	
42392	Interact-iv.com SAS	2007-02-15	30,452	768	3	
42929	Artefact SARL	2007-05-10	31,535	768	2	
47835	ATARAXIE SARL	2008-08-29	30,465	768	2	
50172	Regie Autonome Des Transports Parisiens	2009-11-25	31,186	768	3	
50778	SQLI SA	2010-03-23	31,415	768	2	
60331	Une Vision Nouvelle de la Communication VINC SAS	2013-08-12	30,972	768	3	
60821	Kyriba SAS	2013-05-03	31,202	768	3	
197205	MERCIS-AS 1000Mercis S.A.,FR	2011-08-25	30,270	768	3	
198060	DARVA DEVELOPPEMENT D'APPLICATIONS SUR RESEAUX A V	2011-09-19	31,751	768	3	
199140	ORE-AS Orange S.A.,FR	2012-08-21	30,422	768	3	
199441	AS1-COSIUM Cosium sarl,FR	2013-01-21	31,701	768	4	4
199528	ALCINE-AS Allocine S.A.,FR	2012-12-05	30,867	768	3	
201868	PROSOLUCE Prosoluce SARL,FR	2014-06-20	31,549	768	2	
201958	ADP-EUROPE ADPGSI FRANCE,FR	2014-05-20	31,554	768	3	1
9168	TELINO SARL	2009-01-15	32,550	512	1	
