ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
201848	TRADERSOFT Trader soft LLC,RU	2014-06-26	15,495	4,096	2	1
8440	Sakhalin Network Communications Co. (SNC)	1997-08-25	16,014	3,840	13	1
20866	LLC Promsvyaz-Invest	2002-02-07	15,960	3,840	6	
24846	IFC BanCorp Electronic Banking &	2002-04-22	16,102	3,840	17	
25251	Art-Constructor CJSC	2002-09-12	16,104	3,840	7	
29303	Ltd PermInterCom	2003-07-28	15,953	3,840	15	
29363	OOO 'RUS'	2003-08-19	15,922	3,840	4	
41722	Miran Ltd.	2006-10-13	15,973	3,840	15	1
41794	Sibirskie Seti Ltd.	2006-10-25	15,946	3,840	6	
41837	UTK ltd	2006-11-01	16,023	3,840	5	
42742	InterkamService Ltd.	2007-04-10	16,084	3,840	4	
43908	JSC Pursvyaz	2007-10-17	15,944	3,840	8	
47433	Sibirskie Seti Ltd.	2008-06-19	16,077	3,840	4	
49156	Izhline Ltd.	2009-04-21	15,954	3,840	4	
50113	SuperServers Ltd	2009-11-18	16,045	3,840	17	
57494	Krek Ltd.	2011-11-14	15,947	3,840	6	
199945	RU-DINET-F-KASAT3 BILLING SOLUTION Ltd.,RU	2013-11-29	16,057	3,840	15	1
12819	NASA RUSSIAN EXTENTION	1999-11-24	16,159	3,584	8	
13259	Delta Telesystems Ltd.	2008-06-10	16,352	3,584	9	
15835	Moscow Network Access Point	2000-10-23	16,274	3,584	7	4
15850	cyberplat.com	2000-10-24	16,292	3,584	14	
25381	JSC "Regional company Svyaztranzit"	2002-11-07	16,355	3,584	5	
29572	IPport ZAO	2003-10-14	16,310	3,584	14	
39718	"MMP Communications" Ltd.	2006-04-13	16,324	3,584	10	
41066	Closed Joint Stock Company RTComm-Sibir	2006-06-08	16,129	3,584	4	1
41106	Sprint Telecom Service Ltd.	2006-06-15	16,158	3,584	7	
43286	CJSC Astarta	2007-07-09	16,209	3,584	4	
43720	CJSC TVK	2007-09-18	16,312	3,584	3	
44112	SpaceWeb CJSC	2007-11-19	16,318	3,584	4	
44267	Irkutskenergosvyaz Ltd	2007-12-14	16,357	3,584	13	
47522	LLC NETFORT	2008-07-01	16,198	3,584	3	
47711	Line Group Ltd.	2008-08-07	16,280	3,584	4	
48725	Agrosvyaz-M Ltd	2009-01-19	16,332	3,584	3	
48758	Fibrenet Ltd	2009-02-02	16,210	3,584	3	
49058	Private Limited Company "PrimeLink Telecom"	2009-04-01	16,267	3,584	3	
50048	New Reality Ltd	2009-11-02	16,250	3,584	3	
51547	"Garastel" Limited Liability Company	2010-09-23	16,333	3,584	14	
51665	Telediscount ZAO	2010-10-18	16,213	3,584	3	
57010	IT House, Ltd	2011-07-01	16,313	3,584	3	
57155	Progtech-Yug Ltd	2011-08-05	16,353	3,584	3	
57988	Foton LLC	2012-03-26	16,360	3,584	3	
59533	Lukjanova Lydia Andreevna PE	2012-08-02	16,246	3,584	13	1
197453	BIZTEL-AS Biz Telecom LLC,RU	2010-12-09	16,233	3,584	4	
199021	ASKOMTEKS ZAO Komteks,RU	2012-07-17	16,317	3,584	4	
199669	ATLEX-AS Okay-Telecom Ltd.,RU	2012-10-12	16,137	3,584	3	2
21416	CJSC Technical centre of Internet	2009-12-04	16,538	3,328	13	5
28870	PLUSINFO LTD	2003-03-25	16,534	3,328	3	1
31368	Astelnet Ltd.	2004-04-27	16,596	3,328	13	
