ASN	Name	Registration date	Global rank	#routeable IPv4	#prefixes IPv4	#prefixes IPv6
199611	TELCOMBS Telcom Business Solutions S.L.,ES	2012-11-08	33,720	512	1	
199976	AS_DUNE DUNE TECHNOLOGY SL,ES	2013-11-19	32,390	512	2	
201426	INTERMANAGED Intermanaged Network,ES	2014-10-30	34,649	512	2	
201553	EXCOM_CLOUD_SL EXCOM CLOUD, S.L.,ES	2014-09-26	37,484	512	1	
201976	ASMERCADONA Mercadona S.A,ES	2014-05-15	37,552	512	3	
8318	CEMEX ESPANA S.A.	1997-05-26	48,305	256	1	
9052	Unidad Editorial S.A.	1998-11-06	37,642	256	1	1
13137	AGENCIA EFE SA	2000-03-30	38,656	256	1	
15608	Banco Inversis S.A.	2000-08-21	44,476	256	1	
16289	ING Direct N.V.	2001-02-19	42,576	256	1	
16373	Compania Espanola de Petroleos S.A.	2001-03-09	44,040	256	1	
21027	PARADORES DE TURISMO DE ESPANA SA	2001-07-30	49,304	256	1	
24580	SUPSA SUPERMERCATS PUJOL SL	2002-01-07	42,568	256	1	
25261	IBERIA LINEAS AEREAS DE ESPANA S.A.	2002-09-17	48,734	256	1	
25297	COMSA Autonomous System	2002-09-24	42,801	256	1	
25354	Entidad Publica Empresarial Red.es	2002-10-14	48,775	256	1	1
25544	Eroski Scoop.	2003-01-02	47,385	256	1	
25572	Internet Systems Consortium Inc.	2003-01-14	48,880	256	1	1
25583	REGISTRO MERCANTIL Autonomous System	2003-01-17	45,919	256	1	
28935	ODEC, CENTRO DE CALCULO Y APLICACIONES INFORMATICA	2003-04-10	45,788	256	1	
29109	MEDIOS AVANZADOS DE CALCULO Y DISENO, S.L.	2003-06-05	45,855	256	1	
29464	FILMAC Centre SL	2003-09-17	42,974	256	1	
29612	Promotora de Informaciones SA	2003-10-23	38,557	256	1	
29661	AGENCIA NOTARIAL DE CERTIFICACION S.L	2003-11-05	43,057	256	1	
30939	INGENIERIA DE SISTEMAS PARA LA DEFENSA DE ESPANA S	2004-01-22	42,462	256	1	
31164	LABORATORIOS DEL DOCTOR ESTEVE SA	2004-03-11	45,505	256	1	
31249	Instituto de Empresa, S.L.	2004-03-31	41,053	256	1	
31332	Industria de Turbo Propulsores S.A.	2004-04-16	38,083	256	1	
31341	Caja Espana de Inversiones Caja de ahorros y Monte	2004-04-20	47,037	256	1	
31428	Altadis Distribution France S.A.S	2004-05-14	44,088	256	1	
35167	Promocion Tecnologica y Comercial S.A.	2005-06-15	37,627	256	1	
35630	Accenture S.L.	2005-09-20	39,202	256	1	
